tournament,tier,round,start_date,host_country,player_a,player_a_nat,player_b,player_b_nat,player_a_won,same_nationality,h2h_win_rate_a_vs_b,player_a_is_home,player_a_matches_last_14_days,player_a_days_since_last_match,player_a_recent_win_rate,player_b_is_home,player_b_matches_last_14_days,player_b_days_since_last_match,player_b_recent_win_rate,player_a_elo,player_b_elo,elo_diff,player_a_ema_form,player_b_ema_form,h2h_last_winner,player_a_win_streak,player_b_win_streak,player_a_matches_last_7_days,player_b_matches_last_7_days
All England Open 2021,1000,Second Round,2021-03-17,England,Sitthikom Thammasin,Thailand,Jonatan Christie,Indonesia,1,0,0.5,0,0,15,0.0,0,0,100,0.5,1488.0,1500.0,-12.0,0.35,0.5,0.5,-1,0,0,0
All England Open 2021,1000,First Round,2021-03-17,England,Pablo Abián,Spain,Sitthikom Thammasin,Thailand,0,0,0.5,0,0,15,0.5,0,0,15,0.0,1500.45,1508.69,-8.24,0.545,0.545,0.5,1,1,0,0
All England Open 2021,1000,First Round,2021-03-17,England,Kunlavut Vitidsarn,Thailand,Jonatan Christie,Indonesia,0,0,0.5,0,0,15,0.8,0,0,100,0.5,1535.09,1479.31,55.78,0.616,0.35,0.5,-1,-1,0,0
All England Open 2021,1000,First Round,2021-03-17,England,B. Sai Praneeth,India,Toma Junior Popov,France,1,0,0.5,0,0,15,0.6667,0,0,15,0.0,1513.16,1488.0,25.16,0.6815,0.35,0.5,2,-1,0,0
All England Open 2021,1000,Second Round,2021-03-17,England,B. Sai Praneeth,India,Viktor Axelsen,Denmark,0,0,0.5,0,0,15,0.6667,0,0,15,1.0,1531.71,1557.63,-25.92,0.7771,0.916,0.5,3,5,0,0
All England Open 2021,1000,First Round,2021-03-17,England,Koki Watanabe,Japan,Viktor Axelsen,Denmark,0,0,0.5,0,0,100,0.5,0,0,15,1.0,1500.0,1576.14,-76.14,0.5,0.9412,0.5,0,6,0,0
All England Open 2021,1000,First Round,2021-03-17,England,Brice Leverdez,France,Anders Antonsen,Denmark,0,0,0.5,0,0,100,0.5,0,0,100,0.5,1500.0,1541.39,-41.39,0.5,0.755,0.5,0,2,0,0
All England Open 2021,1000,Second Round,2021-03-17,England,Nhat Nguyen,Republic of Ireland,Mark Caljouw,Netherlands,0,0,0.5,0,0,15,0.0,0,0,15,0.5,1487.61,1520.07,-32.46,0.35,0.6185,0.5,-1,1,0,0
All England Open 2021,1000,Quarter-finals,2021-03-17,England,Sitthikom Thammasin,Thailand,Viktor Axelsen,Denmark,0,0,0.5,0,0,15,0.0,0,0,15,1.0,1528.22,1591.83,-63.61,0.6815,0.9588,0.5,2,7,0,0
All England Open 2021,1000,Quarter-finals,2021-03-17,England,Lakshya Sen,India,Mark Caljouw,Netherlands,0,0,0.5,0,0,15,0.0,0,0,15,0.5,1487.6,1538.21,-50.61,0.35,0.7329,0.5,-1,2,0,0
All England Open 2021,1000,Semi-finals,2021-03-17,England,Lee Zii Jia,Malaysia,Mark Caljouw,Netherlands,1,0,0.5,0,0,15,0.75,0,0,15,0.5,1522.79,1555.31,-32.53,0.5799,0.8131,0.5,-1,3,0,0
All England Open 2021,1000,Final,2021-03-17,England,Lee Zii Jia,Malaysia,Viktor Axelsen,Denmark,1,0,0.5,0,0,15,0.75,0,0,15,1.0,1544.65,1608.2,-63.55,0.706,0.9712,0.5,1,8,0,0
All England Open 2021,1000,Semi-finals,2021-03-17,England,Anders Antonsen,Denmark,Viktor Axelsen,Denmark,0,1,0.5,0,0,100,0.5,0,0,15,1.0,1559.02,1584.59,-25.57,0.8285,0.6798,0.5,3,-1,0,0
All England Open 2021,1000,First Round,2021-03-17,England,Kento Momota,Japan,Parupalli Kashyap,India,1,0,0.5,0,0,100,0.5,0,0,15,0.0,1500.0,1487.59,12.41,0.5,0.35,0.5,0,-1,0,0
All England Open 2021,1000,Second Round,2021-03-17,England,Kento Momota,Japan,Prannoy Kumar,India,1,0,0.5,0,0,100,0.5,0,0,15,0.0,1519.29,1488.0,31.29,0.65,0.35,0.5,1,-1,0,0
All England Open 2021,1000,First Round,2021-03-17,England,Liew Daren,Malaysia,Prannoy Kumar,India,0,0,0.5,0,0,15,0.0,0,0,15,0.0,1488.0,1469.8,18.2,0.35,0.245,0.5,-1,-2,0,0
All England Open 2021,1000,First Round,2021-03-17,England,Srikanth Kidambi,India,Nhat Nguyen,Republic of Ireland,0,0,0.5,0,0,15,0.75,0,0,15,0.0,1524.8,1469.48,55.32,0.7771,0.245,0.5,3,-2,0,0
All England Open 2021,1000,First Round,2021-03-17,England,Lee Zii Jia,Malaysia,Brian Yang,Canada,1,0,0.5,0,0,15,0.75,0,0,15,0.5,1568.27,1499.64,68.63,0.7942,0.455,0.5,2,-1,0,0
