tier,round,start_date,player_a,player_b,player_a_won,same_nationality,h2h_win_rate_a_vs_b,player_a_is_home,player_a_matches_last_14_days,player_a_days_since_last_match,player_a_recent_win_rate,player_b_is_home,player_b_matches_last_14_days,player_b_days_since_last_match,player_b_recent_win_rate,player_a_elo,player_b_elo,elo_diff,player_a_ema_form,player_b_ema_form,h2h_last_winner,player_a_win_streak,player_b_win_streak,player_a_matches_last_7_days,player_b_matches_last_7_days
1000,First Round,2021-03-17,B. Sai Praneeth,Toma Junior Popov,1,0,0.5,0,0,15,0.6667,0,0,15,0.0,1513.16,1488.0,25.16,0.6815,0.35,0.5,2,-1,0,0
1000,Second Round,2021-03-17,B. Sai Praneeth,Viktor Axelsen,0,0,0.5,0,0,15,0.6667,0,0,15,1.0,1531.71,1557.63,-25.92,0.7771,0.916,0.5,3,5,0,0
1000,First Round,2021-03-17,Koki Watanabe,Viktor Axelsen,0,0,0.5,0,0,100,0.5,0,0,15,1.0,1500.0,1576.14,-76.14,0.5,0.9412,0.5,0,6,0,0
1000,First Round,2021-03-17,Brice Leverdez,Anders Antonsen,0,0,0.5,0,0,100,0.5,0,0,100,0.5,1500.0,1541.39,-41.39,0.5,0.755,0.5,0,2,0,0
1000,Second Round,2021-03-17,Nhat Nguyen,Mark Caljouw,0,0,0.5,0,0,15,0.0,0,0,15,0.5,1487.61,1520.07,-32.46,0.35,0.6185,0.5,-1,1,0,0
1000,Quarter-finals,2021-03-17,Sitthikom Thammasin,Viktor Axelsen,0,0,0.5,0,0,15,0.0,0,0,15,1.0,1528.22,1591.83,-63.61,0.6815,0.9588,0.5,2,7,0,0
1000,Quarter-finals,2021-03-17,Lakshya Sen,Mark Caljouw,0,0,0.5,0,0,15,0.0,0,0,15,0.5,1487.6,1538.21,-50.61,0.35,0.7329,0.5,-1,2,0,0
1000,Semi-finals,2021-03-17,Lee Zii Jia,Mark Caljouw,1,0,0.5,0,0,15,0.75,0,0,15,0.5,1522.79,1555.31,-32.53,0.5799,0.8131,0.5,-1,3,0,0
1000,Final,2021-03-17,Lee Zii Jia,Viktor Axelsen,1,0,0.5,0,0,15,0.75,0,0,15,1.0,1544.65,1608.2,-63.55,0.706,0.9712,0.5,1,8,0,0
1000,Semi-finals,2021-03-17,Anders Antonsen,Viktor Axelsen,0,1,0.5,0,0,100,0.5,0,0,15,1.0,1559.02,1584.59,-25.57,0.8285,0.6798,0.5,3,-1,0,0
1000,First Round,2021-03-17,Kento Momota,Parupalli Kashyap,1,0,0.5,0,0,100,0.5,0,0,15,0.0,1500.0,1487.59,12.41,0.5,0.35,0.5,0,-1,0,0
1000,Second Round,2021-03-17,Kento Momota,Prannoy Kumar,1,0,0.5,0,0,100,0.5,0,0,15,0.0,1519.29,1488.0,31.29,0.65,0.35,0.5,1,-1,0,0
1000,First Round,2021-03-17,Liew Daren,Prannoy Kumar,0,0,0.5,0,0,15,0.0,0,0,15,0.0,1488.0,1469.8,18.2,0.35,0.245,0.5,-1,-2,0,0
1000,First Round,2021-03-17,Srikanth Kidambi,Nhat Nguyen,0,0,0.5,0,0,15,0.75,0,0,15,0.0,1524.8,1469.48,55.32,0.7771,0.245,0.5,3,-2,0,0
1000,First Round,2021-03-17,Lee Zii Jia,Brian Yang,1,0,0.5,0,0,15,0.75,0,0,15,0.5,1568.27,1499.64,68.63,0.7942,0.455,0.5,2,-1,0,0
1000,Second Round,2021-03-17,Lee Zii Jia,Hans-Kristian Vittinghus,1,0,0.5,0,0,15,0.75,0,0,100,0.5,1584.37,1500.0,84.37,0.8559,0.5,0.5,3,0,0,0
1000,First Round,2021-03-17,Hans-Kristian Vittinghus,Misha Zilberman,1,0,0.5,0,0,100,0.5,0,0,15,0.0,1484.76,1487.61,-2.85,0.35,0.35,0.5,-1,-1,0,0
1000,First Round,2021-03-17,Anthony Sinisuka Ginting,Thomas Rouxel,0,0,0.5,0,0,100,0.5,0,0,15,0.5,1500.0,1500.43,-0.43,0.5,0.545,0.5,0,1,0,0
1000,Second Round,2021-03-17,Thomas Rouxel,Lakshya Sen,0,0,0.5,0,0,15,0.5,0,0,15,0.0,1520.4,1470.49,49.91,0.6815,0.245,0.5,2,-2,0,0
1000,First Round,2021-03-17,Lakshya Sen,Kantaphon Wangcharoen,1,0,0.5,0,0,15,0.0,0,0,15,0.6667,1493.35,1511.6,-18.25,0.4715,0.5285,0.5,1,-1,0,0
1000,Quarter-finals,2021-03-17,Kento Momota,Lee Zii Jia,0,0,0.5,0,0,100,0.5,0,0,15,0.75,1537.49,1599.61,-62.12,0.755,0.8991,0.5,2,4,0,0
100,Third Round,2021-03-23,Kai Schäfer,Ditlev Jæger Holm,0,0,0.5,0,0,100,0.5,0,0,100,0.5,1500.0,1500.0,0.0,0.5,0.5,0.5,0,0,0,0
100,Third Round,2021-03-23,Ditlev Jæger Holm,Subhankar Dey,1,0,0.5,0,0,100,0.5,0,0,100,0.5,1510.0,1500.0,10.0,0.65,0.5,0.5,1,0,0,0
100,Second Round,2021-03-23,Ditlev Jæger Holm,B. M. Rahul Bharadwaj,1,0,0.5,0,0,100,0.5,0,0,100,0.5,1519.71,1500.0,19.71,0.755,0.5,0.5,2,0,0,0
100,Quarter-finals,2021-03-23,Ditlev Jæger Holm,Nhat Nguyen,0,0,0.5,0,0,100,0.5,0,2,6,0.3333,1529.15,1492.63,36.51,0.8285,0.4715,0.5,3,1,0,2
100,Quarter-finals,2021-03-23,Hans-Kristian Vittinghus,Chico Aura Dwi Wardoyo,1,0,0.5,0,2,6,0.5,0,0,100,0.5,1504.93,1500.0,4.93,0.545,0.5,0.5,1,0,2,0
100,Second Round,2021-03-23,Chico Aura Dwi Wardoyo,Chirag Sen,0,0,0.5,0,0,100,0.5,0,0,100,0.5,1490.14,1500.0,-9.86,0.35,0.5,0.5,-1,0,0,0
100,Third Round,2021-03-23,Chirag Sen,Soong Joo Ven,0,0,0.5,0,0,100,0.5,0,0,21,0.0,1509.72,1487.63,22.09,0.65,0.35,0.5,1,-1,0,0
100,Third Round,2021-03-23,Hans-Kristian Vittinghus,Johnnie Torjussen,1,0,0.5,0,2,6,0.5,0,0,100,0.5,1514.79,1500.0,14.79,0.6815,0.5,0.5,2,0,2,0
100,Second Round,2021-03-23,Soong Joo Ven,Hans-Kristian Vittinghus,0,0,0.5,0,0,21,0.0,0,2,6,0.5,1498.26,1524.36,-26.1,0.545,0.7771,0.5,1,3,0,2
100,Third Round,2021-03-23,Thomas Rouxel,Julien Carraggi,0,0,0.5,1,2,6,0.5,0,0,100,0.5,1497.55,1500.0,-2.45,0.477,0.5,0.5,-1,0,2,0
100,Second Round,2021-03-23,Thomas Rouxel,Harry Huang,1,0,0.5,1,2,6,0.5,0,0,100,0.5,1487.62,1500.0,-12.38,0.3339,0.5,0.5,-2,0,2,0
100,Second Round,2021-03-23,Mads Christophersen,Fabio Caponio,1,0,0.5,0,0,100,0.5,0,0,100,0.5,1500.0,1500.0,0.0,0.5,0.5,0.5,0,0,0,0
100,Quarter-finals,2021-03-23,Mads Christophersen,Magnus Johannesen,1,1,0.5,0,0,100,0.5,0,0,100,0.5,1510.0,1500.0,10.0,0.65,0.5,0.5,1,0,0,0
100,Quarter-finals,2021-03-23,Joran Kweekel,Christian Kirchmayr,0,0,0.5,0,0,100,0.5,0,0,21,0.0,1500.0,1487.61,12.39,0.5,0.35,0.5,0,-1,0,0
100,Second Round,2021-03-23,Mithun Manjunath,Kai Schäfer,0,0,0.5,0,0,100,0.5,0,0,100,0.5,1500.0,1490.0,10.0,0.5,0.35,0.5,0,-1,0,0
100,Third Round,2021-03-23,Christo Popov,Abhinav Manota,0,0,0.5,1,0,100,0.5,0,0,100,0.5,1500.0,1500.0,0.0,0.5,0.5,0.5,0,0,0,0
100,Third Round,2021-03-23,Joran Kweekel,Luka Wraber,1,0,0.5,0,0,100,0.5,0,0,100,0.5,1489.64,1500.0,-10.36,0.35,0.5,0.5,-1,0,0,0
100,Second Round,2021-03-23,Abhinav Manota,Joran Kweekel,0,0,0.5,0,0,100,0.5,0,0,100,0.5,1510.0,1499.94,10.06,0.65,0.545,0.5,1,1,0,0
100,First Round,2021-03-23,B. R. Sankeerth,Thomas Rouxel,0,0,0.5,0,0,100,0.5,1,2,6,0.5,1500.0,1497.98,2.02,0.5,0.5338,0.5,0,1,0,2
100,Second Round,2021-03-23,Magnus Johannesen,Christo Popov,0,0,0.5,0,0,100,0.5,1,0,100,0.5,1490.29,1490.0,0.29,0.35,0.35,0.5,-1,-1,0,0
100,First Round,2021-03-23,Mithun Manjunath,Lucas Claerbout,1,0,0.5,0,0,100,0.5,1,0,100,0.5,1489.71,1500.0,-10.29,0.35,0.5,0.5,-1,0,0,0
100,Third Round,2021-03-23,Kiran George,Brice Leverdez,0,0,0.5,0,0,100,0.5,1,1,6,0.0,1500.0,1482.37,17.63,0.5,0.35,0.5,0,-1,0,1
100,Semi-finals,2021-03-23,Toma Junior Popov,Kunlavut Vitidsarn,1,0,0.5,1,1,6,0.0,0,1,6,0.6667,1469.45,1511.91,-42.46,0.245,0.4312,0.5,-2,-2,1,1
100,Second Round,2021-03-23,Max Weißkirchen,Victor Svendsen,0,0,0.5,0,0,100,0.5,0,0,21,0.5,1500.0,1500.81,-0.81,0.5,0.545,0.5,0,1,0,0
100,Semi-finals,2021-03-23,Hans-Kristian Vittinghus,Mads Christophersen,0,1,0.5,0,2,6,0.5,0,0,100,0.5,1533.61,1519.71,13.9,0.8439,0.755,0.5,4,2,2,0
100,Second Round,2021-03-23,Srikanth Kidambi,Ajay Jayaram,1,1,0.5,0,1,6,0.6,0,0,21,0.6667,1501.64,1512.01,-10.37,0.5439,0.6185,0.5,-1,1,1,0
100,Second Round,2021-03-23,Ajay Jayaram,Alap Mishra,0,1,0.5,0,0,21,0.6667,0,0,100,0.5,1501.72,1500.0,1.72,0.4329,0.5,0.5,-1,0,0,0
100,Third Round,2021-03-23,Srikanth Kidambi,Cheam June Wei,1,0,0.5,0,1,6,0.6,0,0,100,0.5,1511.94,1500.0,11.94,0.6808,0.5,0.5,1,0,1,0
100,Second Round,2021-03-23,Samuel Hsiao,Ygor Coelho de Oliveira,0,0,0.5,0,0,100,0.5,0,1,6,0.0,1500.0,1468.38,31.62,0.5,0.245,0.5,0,-2,0,1
100,Quarter-finals,2021-03-23,Srikanth Kidambi,Toma Junior Popov,0,0,0.5,0,1,6,0.6,1,1,6,0.0,1521.6,1480.66,40.94,0.7765,0.4715,0.5,2,1,1,1
100,Final,2021-03-23,Toma Junior Popov,Mads Christophersen,1,0,0.5,1,1,6,0.0,0,0,100,0.5,1491.83,1530.11,-38.28,0.63,0.8285,0.5,2,3,1,0
100,Second Round,2021-03-23,Toma Junior Popov,Ade Resky Dwicahyo,1,0,0.5,1,1,6,0.0,0,0,100,0.5,1502.93,1500.0,2.93,0.741,0.5,0.5,3,0,1,0
100,Third Round,2021-03-23,Toma Junior Popov,Philip Illum Klindt,0,0,0.5,1,1,6,0.0,0,0,100,0.5,1512.85,1500.0,12.85,0.8187,0.5,0.5,4,0,1,0
100,Second Round,2021-03-23,Alex Lane,Lino Muñoz,0,0,0.5,0,0,100,0.5,0,0,100,0.5,1500.0,1500.0,0.0,0.5,0.5,0.5,0,0,0,0
100,Second Round,2021-03-23,Kunlavut Vitidsarn,Thomas Fourcade,1,0,0.5,0,1,6,0.6667,1,0,100,0.5,1500.69,1500.0,0.69,0.3018,0.5,0.5,-3,0,1,0
100,Third Round,2021-03-23,Kunlavut Vitidsarn,Xiaodong Sheng,1,0,0.5,0,1,6,0.6667,0,0,21,0.0,1510.67,1487.59,23.09,0.5113,0.35,0.5,1,-1,1,0
100,Second Round,2021-03-23,Xiaodong Sheng,Kim Bruun,1,0,0.5,0,0,21,0.0,0,0,100,0.5,1478.25,1500.0,-21.75,0.245,0.5,0.5,-2,0,0,0
100,Quarter-finals,2021-03-23,Kunlavut Vitidsarn,Brice Leverdez,1,0,0.5,0,1,6,0.6667,1,1,6,0.0,1520.01,1492.88,27.13,0.6579,0.545,0.5,2,1,1,1
100,Second Round,2021-03-23,Prannoy Kumar,Mark Caljouw,0,0,0.0,0,2,6,0.3333,0,4,6,0.6667,1490.84,1533.45,-42.6,0.4715,0.5691,0.0,1,-1,2,4
100,Second Round,2021-03-23,Parupalli Kashyap,Toma Junior Popov,0,0,0.5,0,1,6,0.0,1,1,6,0.0,1468.3,1502.48,-34.18,0.245,0.5731,0.5,-2,-1,1,1
300,First Round,2021-05-18,Lee Dong-keun,Ditlev Jæger Holm,1,0,0.5,0,0,100,0.5,0,0,56,0.75,1500.0,1518.1,-18.1,0.5,0.5799,0.5,0,-1,0,0
